epoch,step,train_loss_epoch,train_loss_step,val_loss
0,9,,2.8169243335723877,
0,19,,3.732881546020508,
0,29,,6.472990036010742,
0,39,,3.098947048187256,
0,49,,1.8628498315811157,
0,49,,,3.871607780456543
0,49,3.4498205184936523,,
1,59,,2.789283037185669,
1,69,,3.705562114715576,
1,79,,6.4523844718933105,
1,89,,3.0817959308624268,
1,99,,1.849499225616455,
1,99,,,3.8615643978118896
1,99,3.425691604614258,,
2,109,,2.777517795562744,
2,119,,3.6950225830078125,
2,129,,6.444102764129639,
2,139,,3.0739424228668213,
2,149,,1.8418514728546143,
2,149,,,3.8544111251831055
2,149,3.4160077571868896,,
3,159,,2.7712128162384033,
3,169,,3.689056396484375,
3,179,,6.43883752822876,
3,189,,3.0688931941986084,
3,199,,1.8366329669952393,
3,199,,,3.849475383758545
3,199,3.4103851318359375,,
4,209,,2.7667481899261475,
4,219,,3.684955596923828,
4,229,,6.435143947601318,
4,239,,3.0654025077819824,
4,249,,1.8327133655548096,
4,249,,,3.845958948135376
4,249,3.4064743518829346,,
5,259,,2.7635200023651123,
5,269,,3.6818854808807373,
5,279,,6.432211399078369,
5,289,,3.062680721282959,
5,299,,1.829677700996399,
5,299,,,3.8435819149017334
5,299,3.4035379886627197,,
6,309,,2.7608730792999268,
6,319,,3.6794724464416504,
6,329,,6.429934501647949,
6,339,,3.0603508949279785,
6,349,,1.8271514177322388,
6,349,,,3.8417770862579346
6,349,3.4011735916137695,,
7,359,,2.7586448192596436,
7,369,,3.6774542331695557,
7,379,,6.4280619621276855,
7,389,,3.058469533920288,
7,399,,1.8250335454940796,
7,399,,,3.8403265476226807
7,399,3.3992104530334473,,
8,409,,2.756805896759033,
8,419,,3.6758110523223877,
8,429,,6.426510810852051,
8,439,,3.056997060775757,
8,449,,1.8231518268585205,
8,449,,,3.839038133621216
8,449,3.397582769393921,,
9,459,,2.7551522254943848,
9,469,,3.674403190612793,
9,479,,6.42518949508667,
9,489,,3.055809259414673,
9,499,,1.821553349494934,
9,499,,,3.838196039199829
9,499,3.3961925506591797,,
10,509,,2.7538137435913086,
10,519,,3.6733810901641846,
10,529,,6.424515724182129,
10,539,,3.055558919906616,
10,549,,1.8212578296661377,
10,549,,,3.838124990463257
10,549,3.395413875579834,,
11,559,,2.7537169456481934,
11,569,,3.6732358932495117,
11,579,,6.424389839172363,
11,589,,3.055466890335083,
11,599,,1.821082353591919,
11,599,,,3.837965965270996
11,599,3.3952603340148926,,
12,609,,2.7535626888275146,
12,619,,3.6731181144714355,
12,629,,6.4242844581604,
12,639,,3.055358409881592,
12,649,,1.8209402561187744,
12,649,,,3.83785343170166
12,649,3.3951311111450195,,
13,659,,2.7533960342407227,
13,669,,3.6730055809020996,
13,679,,6.424169063568115,
13,689,,3.0552518367767334,
13,699,,1.8207929134368896,
13,699,,,3.8377416133880615
13,699,3.3950014114379883,,
14,709,,2.7532448768615723,
14,719,,3.672886610031128,
14,729,,6.424051284790039,
14,739,,3.0551462173461914,
14,749,,1.8206486701965332,
14,749,,,3.8376283645629883
14,749,3.394878625869751,,
15,759,,2.753093957901001,
15,769,,3.6727688312530518,
15,779,,6.423932075500488,
15,789,,3.055039882659912,
15,799,,1.8205039501190186,
15,799,,,3.837512731552124
15,799,3.3947556018829346,,
16,809,,2.752943515777588,
16,819,,3.6726512908935547,
16,829,,6.423813343048096,
16,839,,3.0549252033233643,
16,849,,1.82035231590271,
16,849,,,3.8373947143554688
16,849,3.394632339477539,,
17,859,,2.7527902126312256,
17,869,,3.6725351810455322,
17,879,,6.423695087432861,
17,889,,3.0548176765441895,
17,899,,1.8202056884765625,
17,899,,,3.8372766971588135
17,899,3.3945112228393555,,
18,909,,2.75264310836792,
18,919,,3.672417402267456,
18,929,,6.423574447631836,
18,939,,3.0547115802764893,
18,949,,1.8200576305389404,
18,949,,,3.837160348892212
18,949,3.3943893909454346,,
19,959,,2.7524964809417725,
19,969,,3.6722984313964844,
19,979,,6.423453330993652,
19,989,,3.0546061992645264,
19,999,,1.8199101686477661,
19,999,,,3.837045907974243
19,999,3.3942699432373047,,
20,1009,,2.752324104309082,
20,1019,,3.672194242477417,
20,1029,,6.423293113708496,
20,1039,,3.054497241973877,
20,1049,,1.8198963403701782,
20,1049,,,3.8369438648223877
20,1049,3.3941845893859863,,
21,1059,,2.752291202545166,
21,1069,,3.6721861362457275,
21,1079,,6.423303604125977,
21,1089,,3.054480791091919,
21,1099,,1.8198882341384888,
21,1099,,,3.83693790435791
21,1099,3.3941664695739746,,
22,1109,,2.7522671222686768,
22,1119,,3.6721765995025635,
22,1129,,6.42330265045166,
22,1139,,3.0544650554656982,
22,1149,,1.8198710680007935,
22,1149,,,3.836928129196167
22,1149,3.3941526412963867,,
23,1159,,2.752248525619507,
23,1169,,3.6721651554107666,
23,1179,,6.423294544219971,
23,1189,,3.054450750350952,
23,1199,,1.8198533058166504,
23,1199,,,3.8369152545928955
23,1199,3.3941397666931152,,
24,1209,,2.7522313594818115,
24,1219,,3.6721527576446533,
24,1229,,6.423285007476807,
24,1239,,3.054438829421997,
24,1249,,1.819836974143982,
24,1249,,,3.8369040489196777
24,1249,3.394127607345581,,
25,1259,,2.7522146701812744,
25,1269,,3.6721410751342773,
25,1279,,6.42327356338501,
25,1289,,3.0544257164001465,
25,1299,,1.819818139076233,
25,1299,,,3.836890935897827
25,1299,3.3941140174865723,,
26,1309,,2.7521984577178955,
26,1319,,3.672128677368164,
26,1329,,6.423262119293213,
26,1339,,3.0544142723083496,
26,1349,,1.8198010921478271,
26,1349,,,3.8368799686431885
26,1349,3.3941006660461426,,
27,1359,,2.7521822452545166,
27,1369,,3.67211651802063,
27,1379,,6.423250198364258,
