epoch,step,train_loss_epoch,train_loss_step,val_loss
0,9,,795.1983032226562,
0,19,,526.6605224609375,
0,24,,,723.6528930664062
0,24,655.5660400390625,,
1,29,,922.2614135742188,
1,39,,1404.8939208984375,
1,49,,367.4845886230469,
1,49,,,722.48828125
1,49,654.7005004882812,,
2,59,,793.095458984375,
2,69,,524.4835815429688,
2,74,,,720.5243530273438
2,74,653.682861328125,,
3,79,,919.446044921875,
3,89,,1400.5494384765625,
3,99,,366.0659484863281,
3,99,,,719.046875
3,99,652.4903564453125,,
4,109,,790.2921752929688,
4,119,,522.24169921875,
4,124,,,717.7368774414062
4,124,651.3447875976562,,
5,129,,916.3103637695312,
5,139,,1396.37255859375,
5,149,,364.70819091796875,
5,149,,,716.4805297851562
5,149,650.3101196289062,,
6,159,,787.9273681640625,
6,169,,520.4763793945312,
6,174,,,715.6188354492188
6,174,649.37353515625,,
7,179,,913.6954956054688,
7,189,,1392.9813232421875,
7,199,,363.56634521484375,
7,199,,,714.6168212890625
7,199,648.5345458984375,,
8,209,,786.0215454101562,
8,219,,519.1360473632812,
8,224,,,713.83935546875
8,224,647.7857055664062,,
9,229,,911.63525390625,
9,239,,1390.303466796875,
9,249,,362.6601257324219,
9,249,,,712.916015625
9,249,647.123291015625,,
10,259,,784.6568603515625,
10,269,,518.3095092773438,
10,274,,,712.7132568359375
10,274,646.7323608398438,,
11,279,,910.5535888671875,
11,289,,1389.5411376953125,
11,299,,362.5400695800781,
11,299,,,712.6207885742188
11,299,646.6532592773438,,
12,309,,784.4904174804688,
12,319,,518.2037353515625,
12,324,,,712.5452270507812
12,324,646.5924682617188,,
13,329,,910.377197265625,
13,339,,1389.3204345703125,
13,349,,362.45709228515625,
13,349,,,712.4749755859375
13,349,646.5322875976562,,
14,359,,784.3533935546875,
14,369,,518.105224609375,
14,374,,,712.4054565429688
14,374,646.4741821289062,,
15,379,,910.1934814453125,
15,389,,1389.0953369140625,
15,399,,362.3799743652344,
15,399,,,712.3373413085938
15,399,646.4166870117188,,
16,409,,784.2198486328125,
16,419,,518.01025390625,
16,424,,,712.2714233398438
16,424,646.3603515625,,
17,429,,910.0183715820312,
17,439,,1388.8780517578125,
17,449,,362.30499267578125,
17,449,,,712.2069702148438
17,449,646.304443359375,,
18,459,,784.0889282226562,
18,469,,517.91748046875,
18,474,,,712.1419677734375
18,474,646.2492065429688,,
19,479,,909.8504638671875,
19,489,,1388.6666259765625,
19,499,,362.2314758300781,
19,499,,,712.0783081054688
19,499,646.19482421875,,
20,509,,783.975830078125,
20,519,,517.8558959960938,
20,524,,,712.0904541015625
20,524,646.1591186523438,,
21,529,,909.7648315429688,
21,539,,1388.5838623046875,
21,549,,362.2203369140625,
21,549,,,712.0850830078125
21,549,646.1536254882812,,
22,559,,783.9632568359375,
22,569,,517.846435546875,
22,574,,,712.0789184570312
22,574,646.1480712890625,,
23,579,,909.750244140625,
23,589,,1388.5653076171875,
23,599,,362.2120666503906,
23,599,,,712.0726318359375
23,599,646.1426391601562,,
24,609,,783.950927734375,
24,619,,517.8372802734375,
24,624,,,712.06640625
24,624,646.1370849609375,,
25,629,,909.7347412109375,
25,639,,1388.5457763671875,
25,649,,362.20440673828125,
25,649,,,712.059814453125
25,649,646.1318969726562,,
26,659,,783.9384155273438,
26,669,,517.8280029296875,
26,674,,,712.0532836914062
26,674,646.12646484375,,
27,679,,909.7188110351562,
27,689,,1388.5255126953125,
27,699,,362.19671630859375,
27,699,,,712.0472412109375
27,699,646.1209716796875,,
28,709,,783.9256591796875,
28,719,,517.81884765625,
28,724,,,712.0407104492188
