epoch,step,train_loss_epoch,train_loss_step,val_loss
14,749,,1.8259696960449219,
14,749,,,3.8406131267547607
14,749,3.3976378440856934,,
15,759,,2.7557225227355957,
15,769,,3.6750149726867676,
15,779,,6.426982402801514,
15,789,,3.0568130016326904,
15,799,,1.8257341384887695,
15,799,,,3.8404347896575928
15,799,3.397458553314209,,
16,809,,2.7555041313171387,
16,819,,3.6748437881469727,
16,829,,6.426806926727295,
16,839,,3.0566627979278564,
16,849,,1.8254989385604858,
16,849,,,3.8402554988861084
16,849,3.3972790241241455,,
17,859,,2.755286931991577,
17,869,,3.674673080444336,
17,879,,6.426630973815918,
17,889,,3.0565125942230225,
17,899,,1.8252642154693604,
17,899,,,3.840075969696045
17,899,3.397101640701294,,
18,909,,2.755070924758911,
18,919,,3.6745026111602783,
18,929,,6.426455020904541,
18,939,,3.056363582611084,
18,949,,1.8250298500061035,
18,949,,,3.8398969173431396
18,949,3.3969223499298096,,
19,959,,2.7548563480377197,
19,969,,3.674332857131958,
19,979,,6.426278591156006,
19,989,,3.056215524673462,
19,999,,1.8247976303100586,
19,999,,,3.8397133350372314
19,999,3.396744728088379,,
20,1009,,2.754718542098999,
20,1019,,3.674246072769165,
20,1029,,6.426188945770264,
20,1039,,3.0562682151794434,
20,1049,,1.8247482776641846,
20,1049,,,3.839674711227417
20,1049,3.396632671356201,,
21,1059,,2.7546708583831787,
21,1069,,3.674215793609619,
21,1079,,6.426159381866455,
21,1089,,3.0562710762023926,
21,1099,,1.8247182369232178,
21,1099,,,3.8396475315093994
21,1099,3.3966104984283447,,
22,1109,,2.7546401023864746,
22,1119,,3.6741955280303955,
22,1129,,6.426137924194336,
22,1139,,3.056260108947754,
22,1149,,1.8246912956237793,
22,1149,,,3.839625835418701
22,1149,3.3965911865234375,,
23,1159,,2.7546136379241943,
23,1169,,3.674177646636963,
23,1179,,6.426119327545166,
23,1189,,3.056246757507324,
23,1199,,1.8246653079986572,
23,1199,,,3.8396074771881104
23,1199,3.3965725898742676,,
24,1209,,2.754589796066284,
24,1219,,3.6741604804992676,
24,1229,,6.426100730895996,
24,1239,,3.0562307834625244,
24,1249,,1.8246389627456665,
24,1249,,,3.8395884037017822
24,1249,3.3965537548065186,,
25,1259,,2.7545666694641113,
25,1269,,3.674142837524414,
25,1279,,6.426083564758301,
25,1289,,3.0562145709991455,
25,1299,,1.8246132135391235,
25,1299,,,3.839569330215454
25,1299,3.3965349197387695,,
26,1309,,2.754542589187622,
26,1319,,3.6741249561309814,
26,1329,,6.426064968109131,
26,1339,,3.056199312210083,
26,1349,,1.824587345123291,
26,1349,,,3.8395509719848633
26,1349,3.3965158462524414,,
27,1359,,2.754518985748291,
27,1369,,3.6741068363189697,
27,1379,,6.426045894622803,
27,1389,,3.056182384490967,
27,1399,,1.8245611190795898,
27,1399,,,3.839531183242798
27,1399,3.396496057510376,,
28,1409,,2.7544949054718018,
28,1419,,3.674088716506958,
28,1429,,6.426027297973633,
28,1439,,3.056166648864746,
28,1449,,1.8245350122451782,
28,1449,,,3.839512348175049
28,1449,3.3964765071868896,,
29,1459,,2.7544713020324707,
29,1469,,3.674070358276367,
29,1479,,6.426008224487305,
29,1489,,3.0561492443084717,
29,1499,,1.8245083093643188,
29,1499,,,3.8394925594329834
29,1499,3.396456718444824,,
30,1509,,2.7544522285461426,
30,1519,,3.674060344696045,
30,1529,,6.426004886627197,
30,1539,,3.0561301708221436,
30,1549,,1.824505090713501,
30,1549,,,3.839493989944458
30,1549,3.396444320678711,,
31,1559,,2.7544496059417725,
31,1569,,3.674058437347412,
31,1579,,6.4260029792785645,
31,1589,,3.0561296939849854,
31,1599,,1.8245022296905518,
31,1599,,,3.839491605758667
31,1599,3.3964428901672363,,
32,1609,,2.7544467449188232,
32,1619,,3.6740562915802,
32,1629,,6.426000118255615,
32,1639,,3.056128740310669,
32,1649,,1.824499487876892,
32,1649,,,3.839489698410034
32,1649,3.396440029144287,,
33,1659,,2.7544443607330322,
33,1669,,3.6740543842315674,
33,1679,,6.425998210906982,
33,1689,,3.0561280250549316,
33,1699,,1.8244966268539429,
33,1699,,,3.8394880294799805
33,1699,3.396437883377075,,
34,1709,,2.754441499710083,
34,1719,,3.6740522384643555,
34,1729,,6.425995826721191,
34,1739,,3.056126832962036,
34,1749,,1.8244938850402832,
34,1749,,,3.8394854068756104
34,1749,3.3964357376098633,,
35,1759,,2.754438877105713,
35,1769,,3.6740505695343018,
35,1779,,6.425993919372559,
35,1789,,3.056126117706299,
35,1799,,1.824491024017334,
35,1799,,,3.8394837379455566
35,1799,3.3964343070983887,,
36,1809,,2.7544362545013428,
36,1819,,3.67404842376709,
36,1829,,6.425991535186768,
36,1839,,3.0561249256134033,
36,1849,,1.8244881629943848,
36,1849,,,3.839481830596924
36,1849,3.3964316844940186,,
37,1859,,2.7544336318969727,
37,1869,,3.674046277999878,
37,1879,,6.425989627838135,
37,1889,,3.056123971939087,
37,1899,,1.824485421180725,
37,1899,,,3.839479446411133
37,1899,3.3964297771453857,,
38,1909,,2.7544312477111816,
38,1919,,3.674044370651245,
38,1929,,6.425987720489502,
38,1939,,3.0561225414276123,
38,1949,,1.8244825601577759,
38,1949,,,3.8394775390625
38,1949,3.396427631378174,,
39,1959,,2.7544283866882324,
39,1969,,3.674042224884033,
39,1979,,6.425984859466553,
39,1989,,3.056121349334717,
39,1999,,1.8244796991348267,
39,1999,,,3.839475154876709
39,1999,3.3964266777038574,,
40,2009,,2.7544264793395996,
40,2019,,3.674041271209717,
40,2029,,6.425984859466553,
40,2039,,3.056119441986084,
40,2049,,1.824479579925537,
40,2049,,,3.839475631713867
40,2049,3.3964247703552246,,
41,2059,,2.7544264793395996,
41,2069,,3.674041271209717,
41,2079,,6.425984859466553,
41,2089,,3.056119203567505,
41,2099,,1.824479341506958,
41,2099,,,3.839475631713867
41,2099,3.3964247703552246,,
42,2109,,2.7544264793395996,
42,2119,,3.6740410327911377,
42,2129,,6.425984859466553,
42,2139,,3.056118965148926,
42,2149,,1.824479341506958,
42,2149,,,3.839475154876709
42,2149,3.3964247703552246,,
43,2159,,2.7544262409210205,
43,2169,,3.6740410327911377,
43,2179,,6.425984859466553,
43,2189,,3.056118965148926,
43,2199,,1.824479341506958,
43,2199,,,3.839475154876709
43,2199,3.3964247703552246,,
44,2209,,2.7544262409210205,
44,2219,,3.6740410327911377,
44,2229,,6.425984859466553,
44,2239,,3.056118965148926,
44,2249,,1.8244792222976685,
44,2249,,,3.839475154876709
44,2249,3.3964245319366455,,
45,2259,,2.7544260025024414,
45,2269,,3.6740410327911377,
45,2279,,6.425984859466553,
45,2289,,3.056118965148926,
45,2299,,1.824479103088379,
45,2299,,,3.839475154876709
45,2299,3.3964245319366455,,
46,2309,,2.7544260025024414,
46,2319,,3.6740407943725586,
46,2329,,6.4259843826293945,
46,2339,,3.056118965148926,
46,2349,,1.8244788646697998,
46,2349,,,3.839474678039551
46,2349,3.3964245319366455,,
47,2359,,2.7544257640838623,
47,2369,,3.6740407943725586,
47,2379,,6.4259843826293945,
47,2389,,3.056118965148926,
47,2399,,1.8244788646697998,
47,2399,,,3.839474678039551
47,2399,3.3964245319366455,,
48,2409,,2.7544257640838623,
48,2419,,3.6740405559539795,
48,2429,,6.4259843826293945,
48,2439,,3.056118965148926,
48,2449,,1.8244787454605103,
48,2449,,,3.839474678039551
48,2449,3.3964245319366455,,
49,2459,,2.7544257640838623,
49,2469,,3.6740405559539795,
49,2479,,6.4259843826293945,
49,2489,,3.056118965148926,
49,2499,,1.8244786262512207,
49,2499,,,3.8394744396209717
49,2499,3.3964245319366455,,
50,2509,,2.7544257640838623,
50,2519,,3.6740405559539795,
50,2529,,6.4259843826293945,
50,2539,,3.0561187267303467,
50,2549,,1.8244786262512207,
50,2549,,,3.839474678039551
50,2549,3.3964245319366455,,
51,2559,,2.7544257640838623,
51,2569,,3.6740405559539795,
51,2579,,6.4259843826293945,
51,2589,,3.0561187267303467,
51,2599,,1.8244785070419312,
51,2599,,,3.839474678039551
51,2599,3.3964245319366455,,
52,2609,,2.7544257640838623,
52,2619,,3.6740405559539795,
52,2629,,6.4259843826293945,
52,2639,,3.0561187267303467,
52,2649,,1.8244786262512207,
52,2649,,,3.839474678039551
52,2649,3.3964245319366455,,
53,2659,,2.7544257640838623,
53,2669,,3.6740405559539795,
53,2679,,6.4259843826293945,
53,2689,,3.0561187267303467,
53,2699,,1.8244785070419312,
53,2699,,,3.839474678039551
53,2699,3.3964245319366455,,
54,2709,,2.7544257640838623,
54,2719,,3.6740405559539795,
54,2729,,6.4259843826293945,
54,2739,,3.0561187267303467,
54,2749,,1.8244785070419312,
54,2749,,,3.839474678039551
54,2749,3.3964245319366455,,
55,2759,,2.7544257640838623,
55,2769,,3.6740405559539795,
55,2779,,6.4259843826293945,
55,2789,,3.0561187267303467,
55,2799,,1.8244786262512207,
55,2799,,,3.839474678039551
55,2799,3.3964245319366455,,
56,2809,,2.7544257640838623,
56,2819,,3.6740405559539795,
56,2829,,6.4259843826293945,
56,2839,,3.0561187267303467,
56,2849,,1.8244785070419312,
56,2849,,,3.839474678039551
56,2849,3.3964245319366455,,
57,2859,,2.7544257640838623,
57,2869,,3.6740405559539795,
57,2879,,6.4259843826293945,
57,2889,,3.0561187267303467,
57,2899,,1.8244786262512207,
57,2899,,,3.839474678039551
57,2899,3.3964245319366455,,
58,2909,,2.7544257640838623,
58,2919,,3.6740405559539795,
58,2929,,6.4259843826293945,
58,2939,,3.0561187267303467,
58,2949,,1.8244785070419312,
58,2949,,,3.839474678039551
58,2949,3.3964245319366455,,
59,2959,,2.7544257640838623,
59,2969,,3.6740405559539795,
59,2979,,6.4259843826293945,
59,2989,,3.0561187267303467,
59,2999,,1.8244786262512207,
59,2999,,,3.839474678039551
59,2999,3.3964245319366455,,
60,3009,,2.7544257640838623,
60,3019,,3.6740405559539795,
60,3029,,6.4259843826293945,
60,3039,,3.0561187267303467,
60,3049,,1.8244785070419312,
60,3049,,,3.839474678039551
60,3049,3.3964245319366455,,
61,3059,,2.7544257640838623,
61,3069,,3.6740405559539795,
61,3079,,6.4259843826293945,
61,3089,,3.0561187267303467,
61,3099,,1.8244785070419312,
61,3099,,,3.839474678039551
61,3099,3.3964245319366455,,
62,3109,,2.7544257640838623,
62,3119,,3.6740405559539795,
62,3129,,6.4259843826293945,
62,3139,,3.0561187267303467,
62,3149,,1.8244785070419312,
62,3149,,,3.839474678039551
62,3149,3.3964245319366455,,
63,3159,,2.7544257640838623,
63,3169,,3.6740405559539795,
63,3179,,6.4259843826293945,
63,3189,,3.0561187267303467,
63,3199,,1.8244785070419312,
63,3199,,,3.839474678039551
63,3199,3.3964245319366455,,
64,3209,,2.7544257640838623,
64,3219,,3.6740405559539795,
64,3229,,6.4259843826293945,
64,3239,,3.0561187267303467,
64,3249,,1.8244785070419312,
64,3249,,,3.839474678039551
64,3249,3.3964245319366455,,
65,3259,,2.7544257640838623,
65,3269,,3.6740405559539795,
65,3279,,6.4259843826293945,
65,3289,,3.0561187267303467,
65,3299,,1.8244785070419312,
65,3299,,,3.839474678039551
65,3299,3.3964245319366455,,
66,3309,,2.7544257640838623,
66,3319,,3.6740405559539795,
66,3329,,6.4259843826293945,
66,3339,,3.0561187267303467,
66,3349,,1.8244786262512207,
66,3349,,,3.839474678039551
66,3349,3.3964245319366455,,
67,3359,,2.7544257640838623,
67,3369,,3.6740405559539795,
67,3379,,6.4259843826293945,
67,3389,,3.0561187267303467,
67,3399,,1.8244785070419312,
67,3399,,,3.839474678039551
67,3399,3.3964245319366455,,
68,3409,,2.7544257640838623,
68,3419,,3.6740405559539795,
68,3429,,6.4259843826293945,
68,3439,,3.0561187267303467,
68,3449,,1.8244785070419312,
68,3449,,,3.839474678039551
68,3449,3.3964245319366455,,
69,3459,,2.7544257640838623,
69,3469,,3.6740405559539795,
69,3479,,6.4259843826293945,
69,3489,,3.0561187267303467,
69,3499,,1.8244785070419312,
69,3499,,,3.839474678039551
69,3499,3.3964245319366455,,
70,3509,,2.7544257640838623,
70,3519,,3.6740405559539795,
70,3529,,6.4259843826293945,
